product,hour_distribution
21, 0.0 0.5025125628140703 0.0 1.0050251256281406 0.5025125628140703 1.5075376884422111 3.5175879396984926 4.522613065326633 8.040201005025125 5.527638190954774 8.040201005025125 10.050251256281408 7.5376884422110555 6.532663316582915 11.557788944723619 8.542713567839195 3.5175879396984926 4.0201005025125625 5.527638190954774 2.0100502512562812 2.0100502512562812 3.5175879396984926 2.0100502512562812 0.0
21, 0.1111111111111111 0.0 0.3333333333333333 0.0 0.0 0.8888888888888888 3.5555555555555554 5.111111111111111 8.11111111111111 8.11111111111111 8.555555555555555 7.666666666666667 7.111111111111111 8.11111111111111 9.222222222222221 8.222222222222221 5.444444444444445 6.0 3.6666666666666665 4.0 2.4444444444444446 1.7777777777777777 1.5555555555555556 0.0
20, 0.0 0.0 0.0 0.6369426751592356 0.6369426751592356 1.910828025477707 0.6369426751592356 3.1847133757961785 10.19108280254777 10.19108280254777 7.006369426751593 8.9171974522293 9.554140127388536 10.19108280254777 9.554140127388536 7.006369426751593 4.45859872611465 4.45859872611465 3.821656050955414 2.5477707006369426 1.910828025477707 1.910828025477707 1.2738853503184713 0.0
20, 0.0 0.0 0.2358490566037736 0.0 0.4716981132075472 0.9433962264150944 4.009433962264151 5.89622641509434 10.377358490566039 8.018867924528301 7.547169811320755 8.49056603773585 7.783018867924528 5.89622641509434 9.19811320754717 9.19811320754717 6.60377358490566 4.245283018867925 2.830188679245283 3.30188679245283 1.650943396226415 2.1226415094339623 1.179245283018868 0.0
20, 0.0 0.0 0.41841004184100417 0.0 0.0 0.8368200836820083 4.184100418410042 6.694560669456067 10.0418410041841 7.949790794979079 7.112970711297071 10.0418410041841 8.786610878661088 4.602510460251046 7.531380753138075 9.623430962343097 6.694560669456067 4.602510460251046 2.510460251046025 3.3472803347280333 1.6736401673640167 2.510460251046025 0.8368200836820083 0.0
20, 0.0 0.0 0.3067484662576687 0.0 0.0 0.9202453987730062 4.9079754601226995 7.0552147239263805 7.668711656441718 7.668711656441718 8.588957055214724 8.282208588957054 8.895705521472392 8.282208588957054 7.361963190184049 7.0552147239263805 5.521472392638037 6.748466257668712 2.4539877300613497 3.067484662576687 3.374233128834356 1.2269938650306749 0.6134969325153374 0.0
19, 0.0 0.0 0.0 1.3157894736842106 0.0 0.0 3.9473684210526314 3.9473684210526314 14.473684210526315 9.210526315789474 10.526315789473685 7.894736842105263 5.2631578947368425 2.6315789473684212 7.894736842105263 7.894736842105263 6.578947368421052 5.2631578947368425 6.578947368421052 1.3157894736842106 1.3157894736842106 1.3157894736842106 2.6315789473684212 0.0
19, 0.0 0.0 0.78125 0.0 0.0 0.78125 3.90625 4.6875 10.15625 7.03125 10.15625 6.25 3.90625 9.375 10.9375 5.46875 4.6875 10.15625 4.6875 3.90625 1.5625 0.0 1.5625 0.0
19, 1.7543859649122806 0.0 0.0 0.0 0.0 0.0 3.508771929824561 1.7543859649122806 7.017543859649122 7.017543859649122 5.2631578947368425 12.280701754385966 3.508771929824561 3.508771929824561 12.280701754385966 8.771929824561404 5.2631578947368425 5.2631578947368425 14.035087719298245 3.508771929824561 1.7543859649122806 1.7543859649122806 1.7543859649122806 0.0
18, 0.0 0.0 0.8620689655172413 0.0 0.8620689655172413 0.0 6.0344827586206895 5.172413793103448 7.758620689655173 12.931034482758621 12.068965517241379 8.620689655172415 3.4482758620689653 7.758620689655173 8.620689655172415 6.0344827586206895 5.172413793103448 4.310344827586207 2.586206896551724 3.4482758620689653 2.586206896551724 1.7241379310344827 0.0 0.0
